region,instance_type
ap-south-1,x2iedn.2xlarge
ap-south-1,is4gen.medium
ap-south-1,r7g.12xlarge
ap-south-1,c7i.4xlarge
ap-south-1,r5.xlarge
ap-south-1,t4g.micro
ap-south-1,c6a.32xlarge
ap-south-1,g6.16xlarge
ap-south-1,r7i.8xlarge
ap-south-1,r6i.4xlarge
ap-south-1,i3en.6xlarge
ap-south-1,m6i.large
ap-south-1,r6a.4xlarge
ap-south-1,c5d.4xlarge
ap-south-1,c7i.12xlarge
ap-south-1,r6gd.4xlarge
ap-south-1,m6i.4xlarge
ap-south-1,c6in.16xlarge
ap-south-1,x1e.2xlarge
ap-south-1,r7g.4xlarge
ap-south-1,r5n.12xlarge
ap-south-1,r6i.metal
ap-south-1,gr6.8xlarge
ap-south-1,d3.4xlarge
ap-south-1,r6gd.16xlarge
ap-south-1,z1d.12xlarge
ap-south-1,m7gd.xlarge
ap-south-1,g6.8xlarge
ap-south-1,t4g.2xlarge
ap-south-1,r7i.24xlarge
ap-south-1,m6gd.xlarge
ap-south-1,m5ad.4xlarge
ap-south-1,c6gn.12xlarge
ap-south-1,r5d.large
ap-south-1,g4dn.metal
ap-south-1,r5n.xlarge
ap-south-1,m5.24xlarge
ap-south-1,g5.24xlarge
ap-south-1,c5d.9xlarge
ap-south-1,c6i.24xlarge
ap-south-1,c5.24xlarge
ap-south-1,c6g.12xlarge
ap-south-1,r6id.4xlarge
ap-south-1,m6in.8xlarge
ap-south-1,m6id.metal
ap-south-1,m6g.16xlarge
ap-south-1,m5ad.24xlarge
ap-south-1,c6gn.16xlarge
ap-south-1,c6in.8xlarge
ap-south-1,x1.16xlarge
ap-south-1,i3.16xlarge
ap-south-1,inf2.24xlarge
ap-south-1,c7i.8xlarge
ap-south-1,c7g.8xlarge
ap-south-1,c6in.2xlarge
ap-south-1,m6a.24xlarge
ap-south-1,m5.xlarge
ap-south-1,r6id.24xlarge
ap-south-1,c5.18xlarge
ap-south-1,c7g.large
ap-south-1,t3.xlarge
ap-south-1,m7gd.2xlarge
ap-south-1,i4i.xlarge
ap-south-1,m5d.12xlarge
ap-south-1,m6a.8xlarge
ap-south-1,c6g.16xlarge
ap-south-1,t3a.large
ap-south-1,r6a.16xlarge
ap-south-1,r6id.16xlarge
ap-south-1,c5.large
ap-south-1,m6a.16xlarge
ap-south-1,m6idn.12xlarge
ap-south-1,m5ad.16xlarge
ap-south-1,c7i.metal-48xl
ap-south-1,m6g.8xlarge
ap-south-1,m5d.metal
ap-south-1,g4dn.2xlarge
ap-south-1,c7g.12xlarge
ap-south-1,g5.2xlarge
ap-south-1,c6a.16xlarge
ap-south-1,c5d.12xlarge
ap-south-1,m6idn.metal
ap-south-1,c5a.large
ap-south-1,r6a.8xlarge
ap-south-1,c5.2xlarge
ap-south-1,t2.2xlarge
ap-south-1,m7g.16xlarge
ap-south-1,c6i.16xlarge
ap-south-1,r6id.metal
ap-south-1,m6g.2xlarge
ap-south-1,g5.16xlarge
ap-south-1,t2.large
ap-south-1,c6i.32xlarge
ap-south-1,m5.16xlarge
ap-south-1,g6.xlarge
ap-south-1,c6in.4xlarge
ap-south-1,c5a.2xlarge
ap-south-1,m7gd.8xlarge
ap-south-1,g6.48xlarge
ap-south-1,r5.12xlarge
ap-south-1,r6id.32xlarge
ap-south-1,r5a.24xlarge
ap-south-1,c5.xlarge
ap-south-1,r7i.large
ap-south-1,m7g.8xlarge
ap-south-1,r6g.12xlarge
ap-south-1,i2.2xlarge
ap-south-1,r6id.12xlarge
ap-south-1,g5.48xlarge
ap-south-1,m6idn.16xlarge
ap-south-1,r6i.16xlarge
ap-south-1,i3.8xlarge
ap-south-1,c6i.8xlarge
ap-south-1,m5.4xlarge
ap-south-1,d2.4xlarge
ap-south-1,g6.24xlarge
ap-south-1,a1.2xlarge
ap-south-1,t2.small
ap-south-1,r7i.12xlarge
ap-south-1,r6g.medium
ap-south-1,r5.2xlarge
ap-south-1,m6a.32xlarge
ap-south-1,c6g.8xlarge
ap-south-1,c5a.xlarge
ap-south-1,m7gd.large
ap-south-1,c5n.xlarge
ap-south-1,c6g.2xlarge
ap-south-1,m5d.16xlarge
ap-south-1,r5n.metal
ap-south-1,c6gn.medium
ap-south-1,inf1.2xlarge
ap-south-1,r8g.xlarge
ap-south-1,m7i.16xlarge
ap-south-1,i4i.2xlarge
ap-south-1,m6in.xlarge
ap-south-1,m6id.24xlarge
ap-south-1,r6gd.xlarge
ap-south-1,m5a.xlarge
ap-south-1,m5d.2xlarge
ap-south-1,m6gd.medium
ap-south-1,r7g.16xlarge
ap-south-1,c6gd.xlarge
ap-south-1,t3.micro
ap-south-1,r5d.2xlarge
ap-south-1,z1d.large
ap-south-1,c5d.24xlarge
ap-south-1,i3en.metal
ap-south-1,c7i-flex.large
ap-south-1,r6i.xlarge
ap-south-1,r3.large
ap-south-1,r5ad.large
ap-south-1,c6a.4xlarge
ap-south-1,m6g.xlarge
ap-south-1,r5ad.16xlarge
ap-south-1,i3.metal
ap-south-1,g5.12xlarge
